Start Date,IMMU SS Equity,GLPG US Equity,VASTN NA Equity,EUCMF US Equity,GLPG NA Equity,ZEAL DC Equity,ECMPA NA Equity,WHA NA Equity
2016-01-12,32.2788,54.64,40.645,40.5333,50.4,139,37.2316,50.06
2016-01-13,32.7283,53.57,41.325,40.5333,50.44,139,37.3737,50.12
2016-01-14,32.7283,53.08,40.6,40.5333,47.965,133,36.7579,49.085
2016-01-15,30.8401,51.22,40.31,40.5333,47.06,124,36.0947,48.625
2016-01-18,30.6603,51.22,39.015,40.5333,46.535,116.5,35.3984,47.925
2016-01-19,31.3796,51.41,38.7,40.5333,48.26,126.5,35.7205,48.215
2016-01-20,32.7283,53.17,37.59,40.5333,47.355,119.5,34.541,46.995
2016-01-21,32.3687,51.74,37.345,40.5333,48.55,121,34.9058,47.495
2016-01-22,32.5485,54.89,38.6,40.5333,50.24,127,36.4737,49.015
2016-01-25,32.7283,52.05,38.87,40.5333,48.59,127,36.9189,49.245
2016-01-26,32.0989,52.47,39.8,40.5333,47.7,125,37.6058,49.525
2016-01-27,32.009,51.59,38,40.5333,48.54,127.5,36.4737,48.56
2016-01-28,31.6494,50.83,38.65,40.5333,48,126,37.5252,48.695
2016-01-29,34.1669,48.92,40.3,40.5333,46,126.5,38.1695,50.31
2016-02-01,33.8972,50.52,39.8,40.5333,46.495,125.5,37.7526,50.07
2016-02-02,32.9081,47.42,39.6,40.5333,45.205,125,36.4168,49.82
2016-02-03,32.8182,46.13,40.235,40.5333,41.97,117.5,37.0895,50.4
2016-02-04,32.8182,48.03,39.59,40.5333,41.91,115,36.5684,50.27
2016-02-05,32.7283,43.5,39.55,40.5333,40.23,106.5,35.9147,48.745
2016-02-08,31.1998,40.25,37.745,40.5333,35.6,95.5,34.74,46.755
2016-02-09,30.3906,38,36.68,40.5333,33.99,92.5,34.1052,45.695
2016-02-10,30.2108,38.95,37.555,40.5333,34.745,105.5,35.0195,46.08
2016-02-11,29.1318,39.58,36.95,40.5333,32.66,102,34.3137,44.83
2016-02-12,29.1318,39.28,37.445,40.5333,34.34,104,34.8774,44.17
2016-02-15,28.6822,39.28,38.03,40.5333,37.87,114.5,35.8152,45
2016-02-16,28.6822,41.37,38.075,40.5333,36.45,113,35.6163,44.7
2016-02-17,28.5024,44.55,38.81,40.5333,39.4,115,36.2842,45.64
