Date,JNJ,V,PG,KO,VZ,UPS,MMC,USB,OXY,AON,MCO,MCK,HPQ,KR,MKL,CE,GL,DVA
2011-07-26,48.488868713378906,20.63408088684082,45.76790237426758,24.74954605102539,22.284927368164062,51.70930099487305,23.74423599243164,19.997467041015625,69.41571044921875,44.88771057128906,32.7199821472168,74.15076446533203,12.6056489944458,10.234146118164062,397.25,47.18510055541992,24.848228454589844,42.084999084472656
2011-07-27,47.98133087158203,20.29866600036621,45.12225341796875,24.570695877075195,22.241928100585938,50.71253204345703,23.720157623291016,19.60858917236328,67.14450073242188,44.310855865478516,30.99742317199707,73.59347534179688,12.38024616241455,10.254674911499023,393.5799865722656,45.35006332397461,24.268537521362305,41.32500076293945
2011-07-28,47.870994567871094,20.10666847229004,44.91913604736328,24.613618850708008,21.904094696044922,49.939674377441406,23.51152801513672,19.518850326538086,66.05191040039062,43.96369171142578,30.813800811767578,72.7254867553711,12.188486099243164,10.1972017288208,392.3500061035156,45.6837043762207,24.703304290771484,41.529998779296875
2011-07-29,47.65766525268555,19.787437438964844,44.607200622558594,24.327455520629883,21.676820755004883,49.9974479675293,23.66399383544922,19.488935470581055,65.01227569580078,42.833221435546875,31.13732147216797,74.11420440673828,11.831883430480957,10.209513664245605,400.4200134277344,45.983985900878906,24.389305114746094,41.77000045776367
2011-08-01,47.37814712524414,19.819828033447266,44.56366729736328,24.227298736572266,22.033092498779297,48.8417854309082,23.262773513793945,19.42910385131836,64.74739837646484,42.5928840637207,30.909976959228516,73.07263946533203,11.841971397399902,10.13562297821045,394.20001220703125,45.541908264160156,24.135696411132812,39.834999084472656
2011-08-02,46.65730285644531,19.329423904418945,44.15742111206055,23.99121856689453,21.79966926574707,47.87388229370117,22.861547470092773,18.808393478393555,62.64168167114258,41.90748977661133,30.00934600830078,71.1540298461914,11.556014060974121,9.856472969055176,390.0,42.39735794067383,23.447311401367188,39.86000061035156
2011-08-03,46.642581939697266,20.236215591430664,44.05586242675781,24.466964721679688,22.094511032104492,48.581756591796875,23.63189697265625,18.868213653564453,62.39669418334961,42.23683547973633,31.154813766479492,71.40985870361328,11.532463073730469,9.96320629119873,390.989990234375,41.037757873535156,23.52580451965332,39.21500015258789
2011-08-04,45.48774337768555,19.660207748413086,43.22161102294922,23.544084548950195,21.449546813964844,47.1154899597168,22.965871810913086,18.06053924560547,58.11238479614258,40.96393585205078,29.344806671142578,68.44965362548828,10.947097778320312,9.737422943115234,383.45001220703125,37.53455352783203,22.444931030273438,38.904998779296875
2011-08-05,46.127681732177734,19.294715881347656,43.95429611206055,23.88390350341797,21.529409408569336,47.4477424621582,22.685016632080078,17.73896598815918,57.83430862426758,39.95806884765625,28.75022315979004,68.80596160888672,10.977376937866211,9.667634010314941,381.4800109863281,36.54195785522461,22.106775283813477,39.13999938964844
2011-08-08,44.9581184387207,18.33009910583496,43.011226654052734,23.29369354248047,20.343902587890625,45.071388244628906,20.799278259277344,16.14604377746582,52.72895050048828,37.19867706298828,26.05706787109375,64.78598022460938,10.365093231201172,9.158595085144043,352.0,31.64579963684082,20.035585403442383,35.790000915527344
2011-08-09,45.752540588378906,19.14435386657715,43.6859016418457,23.851716995239258,21.062570571899414,46.299285888671875,22.741188049316406,17.477214813232422,55.89413833618164,40.44765090942383,27.69219398498535,69.63739013671875,10.60731315612793,9.261223793029785,375.75,34.923797607421875,21.51500129699707,37.185001373291016
