Start Date,MEURVDD LX Equity,FFSOUYE LX Equity,RUSLCEX NA Equity,FSGLEVI ID Equity,MEREUDE LX Equity,FIEMYAE LX Equity,UBLCOUQ LX Equity,MORIUSE LX Equity,TRPGEMQ LX Equity,ITV LN Equity,LANSNA 0 10/25/2022 Corp,ACMBEVI LX Equity,MONESEU ID Equity,RRTL GY Equity,LGF/A US Equity,RSSEEFE LX Equity,INRG LN Equity,COMGREA ID Equity,VHYD LN Equity,CIT IM Equity,TCMAF NA Equity,FLEINDI LX Equity
2015-06-04,71.639999,13.13,,,128.289993,11.34,133.64,76.98,9.91,268.4,,18.09,4.899,82.1,35.12,12.89,448.7,21.08,53.115,,15.93,85.39
2015-06-05,70.739998,13.27,,,126.470001,11.44,132.01,76.29,9.83,264.9,,17.93,4.844,80.67,35.4,12.96,441,20.83,52.485,,16.23,84.99
2015-06-08,70.220001,13.11,,,125.290001,11.26,132.09,76.31,9.79,263.9,,17.76,4.815,80.11,35.37,12.83,442.45,20.66,52.39,,16.4,83.73
2015-06-09,69.599998,12.9,,,123.919998,11.18,128.62,75.62,9.75,262.8,,17.73,4.794,80.89,35.58,12.6,433.25,20.54,52.33,,15.79,83.86
2015-06-10,70.660004,12.98,,,126.059998,11.35,128.76,76.36,9.83,265.4,,18.01,4.84,82.37,36.5,12.75,434.3,20.85,53.16,,15.96,84.96
2015-06-11,72.139999,13.03,,,129,11.46,129.56,77.14,9.81,266.6,,18.11,4.887,81.5,36.42,12.83,435.65,21.02,53.105,,15.69,82.95
2015-06-12,71.080002,13.06,,,126.699997,11.39,132.37,76.66,9.83,269.7,,18,4.842,81,36.92,12.75,433,20.76,52.865,,16.02,83.32
2015-06-15,70.300003,12.95,,,125.339996,11.29,130.3,75.62,9.75,267.1,,17.71,4.775,80.45,36.74,12.73,426,20.41,52.29,,16.08,83.19
2015-06-16,70.540001,12.93,,,125.699997,11.36,128.42,76.14,9.78,266.8,,17.86,4.805,80.11,37.46,12.81,427.75,20.49,52.48,,16,83.52
2015-06-17,70.599998,12.97,,,125.410004,11.33,129.02,76.67,9.82,264.5,,17.78,4.808,79.57,37.33,12.82,429.2,20.36,52.49,,16.01,83.97
2015-06-18,70.25,12.93,,,124.970001,11.37,129.75,77.2,9.93,263.8,,17.77,4.782,80.23,37.81,12.73,428.5,20.42,52.655,,15.92,85.6
2015-06-19,71.059998,12.89,,,126.279999,11.44,128.67,77.39,9.87,265.9,,17.87,4.81,79.79,37.68,12.76,424.35,20.47,52.465,,15.91,86.66
2015-06-22,72.5,12.98,,,129.279999,11.56,129.28,77.6,9.98,269.9,,18.22,4.839,81.92,37.83,12.79,431.4,20.95,53.2,,15.54,87.85
2015-06-23,72.5,13.28,,,129.279999,11.75,129.28,77.6,9.98,273.3,,18.22,4.912,83.04,37.84,12.79,435.4,20.95,53.06,,15.66,88.02
2015-06-24,73.169998,13.32,,,130.880005,11.83,132.36,78.05,10.03,273.3,,18.37,4.866,82.84,37.57,12.86,436.15,21.02,52.9,,15.99,87.54
2015-06-25,73.040001,13.26,,,130.649994,11.87,131.23,77.59,10,275.1,,18.36,4.861,84.8,37.85,12.79,430.5,20.99,52.81,,15.65,88.5
2015-06-26,73.32,13.16,,,131.059998,11.85,128.26,77.3,9.94,275.6,,18.37,4.868,84.5,37.46,12.67,425.55,20.98,52.535,,15.92,88.56
2015-06-29,71.860001,12.84,,,128.130005,11.52,123.39,76.17,9.77,269.1,,17.87,4.806,82,36.72,12.29,411.6,20.47,51.65,,16,87.36
2015-06-30,70.75,13.03,,,125.919998,11.71,125.77,75.64,9.86,263.3,,17.7,4.786,81.06,37.05,12.27,412.2,20.21,51.255,,15.62,88.53
2015-07-01,72,13.11,,,128.419998,11.7,125.77,76.72,9.89,267.1,,17.98,4.835,82.46,37.28,12.34,420.1,20.5,51.475,,15.68,89.57
2015-07-02,71.209999,13.14,,,126.699997,11.76,124.87,76.24,9.86,263.4,,17.88,4.807,82.27,36.92,12.33,417.5,20.38,51.52,,15.89,90
2015-07-03,70.519997,13.05,,,125.529999,11.69,121.99,76.47,9.81,262.7,,17.88,4.794,82.2,36.92,12.32,416.5,20.3,51.32,,15.77,90.43
