Date,BA.L,CCH.L,ANTO.L,MGGT.L,RR.L,SSE.L,SMIN.L,SPX.L,PSN.L,AHT.L,ABF.L,VOD.L,RMV.L,SDR.L,PRU.L,SMT.L,ENT.L,ABDN.L,STJ.L
2016-01-18,378.9900817871094,1132.859619140625,280.7569885253906,292.8054504394531,164.2191925048828,942.6414794921875,735.3417358398438,2655.309814453125,1065.2523193359375,866.981689453125,2783.156005859375,143.8761444091797,353.5758972167969,1977.878662109375,944.7139282226562,238.250732421875,388.91314697265625,265.6427917480469,669.2189331054688
2016-01-19,376.7564392089844,1148.5594482421875,285.1689453125,295.9654846191406,167.7262420654297,949.3126220703125,741.5946044921875,2683.53857421875,1106.528076171875,883.40869140625,2790.572998046875,146.13424682617188,359.5843811035156,2030.403076171875,976.9879760742188,242.3292694091797,387.2367858886719,269.261474609375,688.190673828125
2016-01-20,364.8431701660156,1113.0284423828125,277.62860107421875,288.1485290527344,161.9320831298828,923.9618530273438,719.91796875,2637.09814453125,1069.775634765625,851.010986328125,2708.988037109375,141.44956970214844,351.9119873046875,1968.471435546875,926.8229370117188,238.0289764404297,383.46502685546875,258.70074462890625,654.3391723632812
2016-01-21,356.80169677734375,1128.72802734375,293.11029052734375,290.393798828125,162.9993438720703,915.0497436523438,734.9248657226562,2647.11474609375,1076.5604248046875,873.3699340820312,2734.02001953125,144.07835388183594,345.16400146484375,2029.6185302734375,926.8229370117188,240.4683837890625,380.5314025878906,267.19366455078125,664.0110473632812
2016-01-22,366.8534851074219,1132.859619140625,298.56512451171875,298.79290771484375,165.59153747558594,942.2630004882812,757.0185546875,2720.873046875,1080.5184326171875,903.4862060546875,2776.66650390625,147.92044067382812,352.6514892578125,2087.63037109375,929.6293334960938,244.02626037597656,380.9504699707031,268.7445373535156,676.286865234375
2016-01-25,369.16168212890625,1139.4700927734375,291.3456115722656,301.1214294433594,165.8964080810547,942.2630004882812,743.2620239257812,2715.40966796875,1101.4390869140625,885.2340087890625,2800.771240234375,147.2801055908203,359.491943359375,2070.383056640625,912.4398193359375,242.96566772460938,380.9504699707031,264.6827697753906,676.286865234375
2016-01-26,374.1503601074219,1146.0804443359375,303.21759033203125,299.20867919921875,165.74404907226562,957.23046875,745.7632446289062,2700.839599609375,1104.8316650390625,879.7581787109375,2795.208740234375,147.3812255859375,354.13055419921875,2077.43896484375,925.4198608398438,242.6571044921875,376.3404846191406,264.3134460449219,678.890869140625
2016-01-27,377.5009765625,1164.259033203125,301.1319885253906,299.12554931640625,164.52418518066406,974.23876953125,758.2691040039062,2719.0517578125,1129.710205078125,880.6709594726562,2853.61572265625,150.44815063476562,354.5002746582031,2098.60546875,936.294677734375,239.0703125,353.2906799316406,265.5689392089844,691.5386962890625
2016-01-28,376.38409423828125,1154.3433837890625,308.03057861328125,298.7098083496094,165.43902587890625,968.796142578125,769.5242309570312,2724.515380859375,1113.87841796875,812.2249755859375,2827.65673828125,145.12313842773438,347.6598815917969,2077.43896484375,926.8229370117188,238.0675811767578,364.6060791015625,261.9502258300781,680.7509155273438
2016-01-29,384.2021789550781,1180.784912109375,304.98236083984375,302.20245361328125,169.2510223388672,986.4847412109375,786.6156616210938,2779.1513671875,1151.1961669921875,820.4385986328125,2920.367431640625,150.91998291015625,368.1811218261719,2135.450439453125,959.4476928710938,242.70530700683594,365.4442443847656,268.4490661621094,709.0223999023438
2016-02-01,378.9900817871094,1190.70068359375,300.0089416503906,299.12554931640625,169.2510223388672,974.23876953125,782.8638305664062,2738.174560546875,1168.7242431640625,815.4191284179688,2920.367431640625,151.9647674560547,368.9206237792969,2116.635986328125,930.681884765625,241.09510803222656,391.42767333984375,268.2276306152344,703.8145141601562
2016-02-02,373.03350830078125,1189.8743896484375,293.1905822753906,295.30023193359375,162.08447265625,959.2714233398438,756.1847534179688,2657.130615234375,1168.7242431640625,809.9434204101562,2966.72216796875,149.33596801757812,372.9878845214844,2054.704833984375,854.2067260742188,234.50006103515625,428.307373046875,259.07000732421875,681.122802734375
